,date,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,High,Low,Open,Close,Volume,Adj Close
717,2018-11-06,0.58,-0.15,0.03,0.29,0.18,0.008,-0.0684625660784508,214.85000610351562,209.55999755859375,211.4499969482422,211.05999755859375,7475300.0,209.8074951171875
718,2018-11-07,2.11,-0.49,-1.02,-0.35,-0.77,0.008,-0.0646898508482521,217.41000366210938,211.17999267578125,213.75,213.7899932861328,12095300.0,212.52127075195312
719,2018-11-08,-0.28,-0.14,0.23,0.43,0.3,0.008,-0.0611463958827824,211.42999267578125,203.8300018310547,211.39999389648438,205.99000549316406,12783800.0,204.767578125
720,2018-11-09,-1.04,-0.85,0.39,0.56,0.72,0.008,-0.0578317771394582,209.32000732421875,201.0399932861328,202.39999389648438,205.6699981689453,10331000.0,204.449462890625
721,2018-11-12,-2.06,0.08,0.98,0.5,0.89,0.008,-0.049148303100274,202.8699951171875,188.66000366210938,201.97999572753906,189.5399932861328,15427900.0,188.41519165039062
722,2018-11-13,-0.13,-0.07,0.07,0.21,-0.31,0.008,-0.046538738703247,204.2100067138672,193.24000549316406,193.49000549316406,199.30999755859375,16117800.0,198.12721252441406
723,2018-11-14,-0.77,0.02,-0.19,0.54,0.13,0.008,-0.0440584835490498,206.8800048828125,192.8300018310547,206.3000030517578,197.19000244140625,13164500.0,196.01979064941406
724,2018-11-15,1.18,0.32,-0.56,-0.79,-0.69,0.008,-0.0417072408274182,205.3000030517578,195.5,196.9499969482422,202.38999938964844,21017700.0,201.1889190673828
725,2018-11-16,0.15,-0.03,-0.01,-0.78,0.18,0.008,-0.0394847291669089,170.66000366210938,161.61000061035156,163.32000732421875,164.42999267578125,49088000.0,163.4541778564453
726,2018-11-19,-1.88,-0.34,2.33,0.13,1.24,0.008,-0.0335759714131983,161.82000732421875,144.6300048828125,161.7899932861328,144.6999969482422,42445500.0,143.84127807617188
727,2018-11-20,-1.85,0.0,-0.62,-0.33,-0.28,0.008,-0.0316594184818812,154.25999450683594,133.30999755859375,134.05999755859375,149.0800018310547,42300800.0,148.19529724121094
728,2018-11-21,0.51,0.95,-0.29,-0.36,0.0,0.008,-0.0296749623910047,155.3000030517578,143.61000061035156,154.6199951171875,144.7100067138672,25637400.0,143.8512420654297
729,2018-11-23,-0.55,0.74,-0.57,0.31,-0.05,0.008,-0.0255013826627786,149.58999633789062,142.7899932861328,143.30999755859375,145.0,10299200.0,144.13951110839844
730,2018-11-26,1.62,-0.71,-0.18,-0.45,-0.74,0.008,-0.018909942267258,153.47000122070312,146.55999755859375,149.88999938964844,153.0500030517578,20370800.0,152.14173889160156
731,2018-11-27,0.11,-1.05,0.29,0.6,0.11,0.008,-0.0170022830547819,157.00999450683594,150.5500030517578,152.0,153.72999572753906,18451500.0,152.8177032470703
732,2018-11-28,2.42,0.32,-1.27,0.12,-0.94,0.008,-0.0153300284466283,160.27999877929688,153.1300048828125,158.47999572753906,160.07000732421875,20113100.0,159.12010192871094
733,2018-11-29,-0.22,-0.21,-0.18,-0.4,0.03,0.008,-0.0138929783253493,161.5,156.13999938964844,160.0,157.36000061035156,13729300.0,156.58267211914062
734,2018-11-30,0.78,-0.38,-0.38,0.25,-0.24,0.008,-0.0126909607202404,163.86000061035156,155.72000122070312,157.75,163.42999267578125,18239100.0,162.6226806640625
735,2018-12-03,1.13,-0.12,-0.7,-0.3,-0.58,0.01,-0.00949795190689527,174.67999267578125,167.33999633789062,172.60000610351562,170.0399932861328,22270100.0,169.20004272460938
736,2018-12-04,-3.45,-1.04,-0.1,-0.16,0.91,0.01,-0.00945334994197432,168.44000244140625,156.5,168.24000549316406,157.11000061035156,20302800.0,156.3339080810547
737,2018-12-06,-0.16,-0.07,-1.0,0.15,-0.3,0.01,-0.0125396539016016,158.49000549316406,150.80999755859375,151.44000244140625,158.2899932861328,17307700.0,157.50807189941406
738,2018-12-07,-2.36,0.27,1.29,-0.5,0.61,0.01,-0.0156709291618175,158.8699951171875,145.6199951171875,158.4600067138672,147.61000061035156,17041900.0,146.88084411621094
739,2018-12-10,0.1,-0.42,-1.57,0.33,-0.3,0.01,-0.0303832664576939,152.86000061035156,145.64999389648438,145.8000030517578,151.86000061035156,15736800.0,151.10984802246094
740,2018-12-11,-0.08,-0.17,-0.34,0.13,-0.07,0.01,-0.0354186554947702,155.88999938964844,145.0,155.55999755859375,148.19000244140625,16797800.0,147.45797729492188
741,2018-12-12,0.68,0.49,-0.13,-0.23,-0.11,0.01,-0.0402183695670799,152.77999877929688,144.82000732421875,148.4199981689453,148.89999389648438,16353400.0,148.1644744873047
742,2018-12-13,-0.26,-1.54,-0.17,0.18,0.03,0.01,-0.0447829830527865,153.3800048828125,147.44000244140625,150.7899932861328,148.88999938964844,11784600.0,148.1544952392578
743,2018-12-14,-1.89,0.07,0.6,-0.24,0.6,0.01,-0.0491130421957439,150.58999633789062,145.5,147.2100067138672,146.4499969482422,11795500.0,145.7265625
744,2018-12-17,-2.13,-0.13,0.99,0.28,0.22,0.01,-0.0609593211142395,148.14999389648438,141.24000549316406,145.24000549316406,143.5800018310547,16571700.0,142.8707275390625
745,2018-12-18,-0.03,-0.06,-0.56,0.92,-0.48,0.01,-0.0649200574178376,150.3300018310547,144.25,145.35000610351562,146.94000244140625,14109300.0,146.21414184570312
746,2018-12-19,-1.58,-0.61,0.18,-0.37,0.42,0.01,-0.0689542250352502,147.74000549316406,136.42999267578125,145.5800018310547,138.50999450683594,18634100.0,137.8258056640625
747,2018-12-20,-1.62,-0.12,0.78,0.57,-0.06,0.01,-0.0730623067322741,141.8000030517578,132.69000244140625,138.1699981689453,135.10000610351562,18739700.0,134.43263244628906
748,2018-12-21,-2.17,-0.54,0.83,0.11,0.66,0.01,-0.0772447941199481,137.5,128.4600067138672,136.1699981689453,129.57000732421875,21593500.0,128.9299774169922
749,2018-12-24,-2.55,0.9,-0.45,-0.39,-0.36,0.01,-0.0901965503637391,129.97999572753906,124.5,126.48999786376953,127.08000183105469,11596000.0,126.45225524902344
750,2018-12-26,5.06,-0.16,-1.07,-0.18,-1.07,0.01,-0.0985776487770637,133.13999938964844,124.45999908447266,128.94000244140625,133.10000610351562,17377500.0,132.44253540039062
751,2018-12-27,0.78,-0.71,-0.09,-0.12,0.1,0.01,-0.102598196778039,132.3800048828125,125.18000030517578,130.99000549316406,131.1699981689453,15926100.0,130.5220489501953
